NUM	SMOL RUNICODE	ALT DESCRIPTION	"LANG FAMILY
"	UNICODE	"HTML ENTITIES

"
0570	#\\|Y|\	saddle [Safari Art]	Wellish		"&num;&bsol;&bsol;&vert;Y&vert;&bsol;"
0571	 =[#\\Q]=	horseback [Safari Art]	Wellish		"&equals;&lsqb;&num;&bsol;&bsol;Q&rsqb;&equals;"
0572	#jq/	kangaroo [Safari Art]	Wellish		"&num;jq&sol;"
0573	vjq/	desert jerboa [Safari Art]	Wellish		"vjq&sol;"
0574	 =ojq\	dinosaur [Safari Art]	Wellish		"&equals;ojq&bsol;"
0575	 =ojq!	Help, dinosaurs! [Safari Art]	Wellish		"&equals;ojq&excl;"
0576	(^x^)q=p)	wildcat hissing angrily [Safari Art]	Wellish		"&lpar;&Hat;x&Hat;&rpar;q&equals;p&rpar;"
0577	#°(|||)\	zebra [Safari Art]	Wellish		"&num;&deg;&lpar;&vert;&vert;&vert;&rpar;&bsol"
0578	#°/|||\–	galloping zebra [Safari Art]	Wellish		"&num;&deg;&sol;&vert;&vert;&vert;&bsol;&ndash;"
0579	Cqmp	ram [Safari Art]	Wellish		Cqmp
0580	C|q||m|p||	hydraulic ram [Safari Art, technical term]	Wellish		"C&vert;q&vert;&vert;m&vert;p&vert;&vert;"
0581	♀=[Cqmp]=	widow [Safari Art, gender term]	Wellish		"&female;&equals;&lsqb;Cqmp&rsqb;&equals;"
0582	(qtmtp)	mantis [Safari Art]	Wellish		"&lpar;qtmtp&rpar;"
0583	q)n(p	grasshopper [Safari Art]	Wellish		"q&rpar;n&lpar;p"
0584	o)n(oo	ant [Safari Art]	Wellish		"o&rpar;n&lpar;oo"
0585	joj0O0	inchworm [Safari Art]	Wellish		joj0O0
0586	joj0)(O)(0)(	caterpillar [Safari Art]	Wellish		"joj0&rpar;&lpar;O&rpar;&lpar;0&rpar;&lpar;"
0587	jyjo–	moskito [Safari Art]	Wellish		"jyjo&ndash;"
0588	jyj((0))–	bee [Safari Art]	Wellish		"jyj&lpar;&lpar;0&rpar;&rpar;&ndash;"
0589	jyj((0))––	wasp [Safari Art]	Wellish		"jyj&lpar;&lpar;0&rpar;&rpar;&ndash;&ndash;"
0590	jyj((O))–	bumble-bee [Safari Art]	Wellish		"jyj&lpar;&lpar;O&rpar;&rpar;&ndash;"
0591	jyj]]O[[––	hornit [Safari Art]	Wellish		"jyj&rsqb;&rsqb;O&lsqb;&lsqb;&ndash;&ndash;"
0592	°<3€	three-tier greed [Safari Art, someone who can′t get enough of sth.]	Wellish		"&deg;&lt;3&euro;"
0593	#\\joj<3€	three-tier greed [Safari Art, hydra family]	Wellish		"&num;&bsol;&bsol;joj&lt;3&euro;"
0594	#\\joj	donkey [Safari Art]	Wellish		"&num;&bsol;&bsol;joj"
0595	 =[#\\joj]=	jackass [Safari Art]	Wellish		"&equals;&lsqb;&num;&bsol;&bsol;joj&rsqb;&equals;"
0596	#\\_M_/	Loch Ness Monster [Safari Art, literal character]	Wellish		"&num;&bsol;&bsol;&lowbar;M&lowbar;&sol;"
0597	#\\g!!g–	sitting horse [Safari Art]	Wellish		"&num;&bsol;&bsol;g&excl;&excl;g&ndash;"
0598	#\\gRRg–	sitting camel [Safari Art]	Wellish		"&num;&bsol;&bsol;gRRg&ndash;"
0599	#\\gRg–	sitting dromedar [Safari Art]	Wellish		"&num;&bsol;&bsol;gRg&ndash;"
0600	#\\=j<3j–	giraffe [Safari Art]	Wellish		"&num;&bsol;&bsol;&equals;j&lt;3j&ndash;"
0601	#\\=j€>j–	three-tier greed [Safari Art, family of camelopards]	Wellish		"&num;&bsol;&bsol;&equals;j&euro;&gt;j&ndash;"
0602	(^x^)j<3€>j)	three-tier greed [Safari Art, wildcat quick tempered]	Wellish		"&lpar;&Hat;x&Hat;&rpar;j&lt;3&euro;&gt;j&rpar;"
0603	(°|n|°)	bear skull [Safari Art]	Wellish		"&lpar;&deg;&vert;n&vert;&deg;&rpar;"
0604	)°|T|°(	chisel tooth [Safari Art]	Wellish		"&rpar;&deg;&vert;T&vert;&deg;&lpar;"
0605	°uTu°	beaver′s teeth [Safari Art]	Wellish		"&deg;uTu&deg;"
0606	_°°_	frog′s eyes [Safari Art]	Wellish		"&lowbar;<sub>°°</sub>&lowbar;"
0607	° °	frog′s pop eyes [Safari Art]	Wellish		"&deg; &deg;"
0608	°!!°	stickybeak [Safari Art]	Wellish		"&deg;&excl;&excl;&deg;"
0609	_@/	snail [Safari Art]	Wellish		"&lowbar;&commat;&sol;"
0610	__/	slug [Safari Art]	Wellish		"&lowbar;&lowbar;&sol;"
0611	>o)(o)(o<	earwig [Safari Art]	Wellish		"&gt;o&rpar;&lpar;o&rpar;&lpar;o&lt;"
0612	o))m)n(m))<	millipede [Safari Art]	Wellish		"o&rpar;&rpar;m&rpar;n&lpar;m&rpar;&rpar;&lt;"
0613	c((n(m)n))<	centipede [Safari Art]	Wellish		"c&lpar;&lpar;n&lpar;m&rpar;n&rpar;&rpar;&lt;"
0614	:−))m)n(m))<	allrounder [Safari Art]	Wellish		"&colon;&minus;&rpar;&rpar;m&rpar;n&lpar;m&rpar;&rpar;&lt;"
0615	:−))−>−>−	medicinal herb [Safari Art]	Wellish		"&colon;&minus;&rpar;&rpar;&minus;&gt;&minus;&gt;&minus;"
0616	:−))=[−>−>−]=	evergreen [Safari Art]	Wellish		"&colon;&minus;&rpar;&rpar;&equals;&lsqb;&minus;&gt;&minus;&gt;&minus;&rsqb;&equals;"
0617	((]^=^[))	flittermouse, bat [Safari Art]	Wellish		"&lpar;&lpar;&rsqb;&Hat;&equals;&Hat;&lsqb;&rpar;&rpar;"
0618	(^/°=°/^)	a flying bat [Safari Art]	Wellish		"&lpar;&Hat;&sol;&deg;&equals;&deg;&sol;&Hat;&rpar;"
0619	(^]°w°[^)	vampire [Safari Art]	Wellish		"&lpar;&Hat;&rsqb;&deg;w&deg;&lsqb;&Hat;&rpar;"
0620	:−=[(^]°w°[^)]=	leech, bloodsucker [Safari Art]	Wellish		"&colon;&minus;&equals;&lsqb;&lpar;&Hat;&rsqb;&deg;w&deg;&lsqb;&Hat;&rpar;&rsqb;&equals;"
0621	𝌀	MONOGRAM FOR EARTH	Prophecy Symbols	U+1D299	
0622	⚊	MONOGRAM FOR YANG	Prophecy Symbols	U+268A	
0623	⚋	MONOGRAM FOR YIN	Prophecy Symbols	U+268B	
0624	𝌁	DIGRAM FOR HEAVENLY EARTH	Prophecy Symbols	U+1D301	
0625	𝌂	DIGRAM FOR HUMAN EARTH	Prophecy Symbols	U+1D302	
0626	𝌃	DIGRAM FOR EARTHLY HEAVEN	Prophecy Symbols	U+1D303	
0627	𝌄	DIGRAM FOR EARTHLY HUMAN	Prophecy Symbols	U+1D304	
0628	𝌅	DIGRAM FOR EARTH	Prophecy Symbols	U+1D305	
0629	⚌	DIGRAM FOR GREATER YANG	Prophecy Symbols	U+268C	
0630	⚍	DIGRAM FOR LESSER YIN	Prophecy Symbols	U+268D	
0631	⚎	DIGRAM FOR LESSER YANG	Prophecy Symbols	U+268E	
0632	⚏	DIGRAM FOR GREATER YIN	Prophecy Symbols	U+268F	
0633	☰	TRIGRAM FOR HEAVEN	Prophecy Symbols	U+2630	
0634	☱	TRIGRAM FOR LAKE	Prophecy Symbols	U+2631	
0635	☲	TRIGRAM FOR FIRE	Prophecy Symbols	U+2632	
0636	☳	TRIGRAM FOR THUNDER	Prophecy Symbols	U+2633	
0637	☴	TRIGRAM FOR WIND	Prophecy Symbols	U+2634	
0638	☵	TRIGRAM FOR WATER	Prophecy Symbols	U+2635	
0639	☶	TRIGRAM FOR MOUNTAIN	Prophecy Symbols	U+2636	
0640	☷	TRIGRAM FOR EARTH	Prophecy Symbols	U+2637	
0641	𝌆	TETRAGRAM FOR CENTRE	Prophecy Symbols	U+1D306	
0642	𝌇	TETRAGRAM FOR FULL CIRCLE	Prophecy Symbols	U+1D307	
0643	𝌈	TETRAGRAM FOR MIRED	Prophecy Symbols	U+1D308	
0644	𝌉	TETRAGRAM FOR BARRIER	Prophecy Symbols	U+1D309	
0645	𝌊	TETRAGRAM FOR KEEPING SMALL	Prophecy Symbols	U+1D30A	
0646	𝌋	TETRAGRAM FOR CONTRARIETY	Prophecy Symbols	U+1D30B	
0647	𝌌	TETRAGRAM FOR ASCENT	Prophecy Symbols	U+1D30C	
0648	𝌍	TETRAGRAM FOR OPPOSITION	Prophecy Symbols	U+1D30D	
0649	𝌎	TETRAGRAM FOR BRANCHING OUT	Prophecy Symbols	U+1D30E	
0650	𝌏	TETRAGRAM FOR DEFECTIVENESS OR DISTORTION	Prophecy Symbols	U+1D30F	
0651	𝌐	TETRAGRAM FOR DIVERGENCE	Prophecy Symbols	U+1D310	
0652	𝌑	TETRAGRAM FOR YOUTHFULNESS	Prophecy Symbols	U+1D311	
0653	𝌒	TETRAGRAM FOR INCREASE	Prophecy Symbols	U+1D312	
0654	𝌓	TETRAGRAM FOR PENETRATION	Prophecy Symbols	U+1D313	
0655	𝌔	TETRAGRAM FOR REACH	Prophecy Symbols	U+1D314	
0656	𝌕	TETRAGRAM FOR CONTACT	Prophecy Symbols	U+1D315	
0657	𝌖	TETRAGRAM FOR HOLDING BACK	Prophecy Symbols	U+1D316	
0658	𝌗	TETRAGRAM FOR WAITING	Prophecy Symbols	U+1D317	
0659	𝌘	TETRAGRAM FOR FOLLOWING	Prophecy Symbols	U+1D318	
0660	𝌙	TETRAGRAM FOR ADVANCE	Prophecy Symbols	U+1D319	
0661	𝌚	TETRAGRAM FOR RELEASE	Prophecy Symbols	U+1D31A	
0662	𝌛	TETRAGRAM FOR RESISTANCE	Prophecy Symbols	U+1D31B	
0663	𝌜	TETRAGRAM FOR EASE	Prophecy Symbols	U+1D31C	
0664	𝌝	TETRAGRAM FOR JOY	Prophecy Symbols	U+1D31D	
0665	𝌞	TETRAGRAM FOR CONTENTION	Prophecy Symbols	U+1D31E	
0666	𝌟	TETRAGRAM FOR ENDEAVOUR	Prophecy Symbols	U+1D31F	
0667	𝌠	TETRAGRAM FOR DUTIES	Prophecy Symbols	U+1D320	
0668	𝌡	TETRAGRAM FOR CHANGE	Prophecy Symbols	U+1D321	
0669	𝌢	TETRAGRAM FOR DECISIVENESS	Prophecy Symbols	 U+1D322	
0670	𝌣	TETRAGRAM FOR BOLD RESOLUTION	Prophecy Symbols	U+1D323	
0671	𝌤	TETRAGRAM FOR PACKING	Prophecy Symbols	U+1D324	
0672	𝌥	TETRAGRAM FOR LEGION	Prophecy Symbols	U+1D325	
0673	𝌦	TETRAGRAM FOR CLOSENESS	Prophecy Symbols	U+1D326	
0674	𝌧	TETRAGRAM FOR KINSHIP	Prophecy Symbols	U+1D327	
0675	𝌨	TETRAGRAM FOR GATHERING	Prophecy Symbols	U+1D328	
0676	𝌩	TETRAGRAM FOR STRENGTH	Prophecy Symbols	U+1D329	
0677	𝌪	TETRAGRAM FOR PURITY	Prophecy Symbols	U+1D32A	
0678	𝌫	TETRAGRAM FOR FULLNESS	Prophecy Symbols	U+1D32B	
0679	𝌬	TETRAGRAM FOR RESIDENCE	Prophecy Symbols	U+1D32C	
0680	𝌭	TETRAGRAM FOR LAW OR MODEL	Prophecy Symbols	U+1D32D	
0681	𝌮	TETRAGRAM FOR RESPONSE	Prophecy Symbols	U+1D32E	
0682	𝌯	TETRAGRAM FOR GOING TO MEET	Prophecy Symbols	U+1D32F	
0683	𝌰	TETRAGRAM FOR ENCOUNTERS	Prophecy Symbols	U+1D330	
0684	𝌱	TETRAGRAM FOR STOVE	Prophecy Symbols	U+1D331	
0685	𝌲	TETRAGRAM FOR GREATNESS	Prophecy Symbols	U+1D332	
0686	𝌳	TETRAGRAM FOR ENLARGEMENT	Prophecy Symbols	U+1D333	
0687	𝌴	TETRAGRAM FOR PATTERN	Prophecy Symbols	U+1D334	
0688	𝌵	TETRAGRAM FOR RITUAL	Prophecy Symbols	U+1D335	
0689	𝌶	TETRAGRAM FOR FLIGHT	Prophecy Symbols	U+1D336	
0690	𝌷	TETRAGRAM FOR VASTNESS OR WASTING	Prophecy Symbols	U+1D337	
0691	𝌸	TETRAGRAM FOR CONSTANCY	Prophecy Symbols	U+1D338	
0692	𝌹	TETRAGRAM FOR MEASURE	Prophecy Symbols	U+1D339	
0693	𝌺	TETRAGRAM FOR ETERNITY	Prophecy Symbols	U+1D33A	
0694	𝌻	TETRAGRAM FOR UNITY	Prophecy Symbols	U+1D33B	
0695	𝌼	TETRAGRAM FOR DIMINISHMENT	Prophecy Symbols	U+1D33C	
0696	𝌽	TETRAGRAM FOR CLOSED MOUTH	Prophecy Symbols	U+1D33D	
0697	𝌾	TETRAGRAM FOR GUARDEDNESS	Prophecy Symbols	U+1D33E	
0698	𝌿	TETRAGRAM FOR GATHERING IN	Prophecy Symbols	U+1D33F	
0699	𝍀	TETRAGRAM FOR MASSING	Prophecy Symbols	U+1D340	
0700	𝍁	TETRAGRAM FOR ACCUMULATION	Prophecy Symbols	U+1D341	
0701	𝍂	TETRAGRAM FOR EMBELLISHMENT	Prophecy Symbols	U+1D342	
0702	𝍃	TETRAGRAM FOR DOUBT	Prophecy Symbols	U+1D343	
0703	𝍄	TETRAGRAM FOR WATCH	Prophecy Symbols	U+1D344	
0704	𝍅	TETRAGRAM FOR SINKING	Prophecy Symbols	U+1D345	
0705	𝍆	TETRAGRAM FOR INNER	Prophecy Symbols	U+1D346	
0706	𝍇	TETRAGRAM FOR DEPARTURE	Prophecy Symbols	U+1D347	
0707	𝍈	TETRAGRAM FOR DARKENING	Prophecy Symbols	U+1D348	
0708	𝍉	TETRAGRAM FOR DIMMING	Prophecy Symbols	U+1D349	
0709	𝍊	TETRAGRAM FOR EXHAUSTION	Prophecy Symbols	U+1D34A	
0710	𝍋	TETRAGRAM FOR SEVERANCE	Prophecy Symbols	U+1D34B	
0711	𝍌	TETRAGRAM FOR STOPPAGE	Prophecy Symbols	U+1D34C	
0712	𝍍	TETRAGRAM FOR HARDNESS	Prophecy Symbols	U+1D34D	
0713	𝍎	TETRAGRAM FOR COMPLETION	Prophecy Symbols	U+1D34E	
0714	𝍏	TETRAGRAM FOR CLOSURE	Prophecy Symbols	U+1D34F	
0715	𝍐	TETRAGRAM FOR FAILURE	Prophecy Symbols	U+1D350	
0716	𝍑	TETRAGRAM FOR AGGRAVATION	Prophecy Symbols	U+1D351	
0717	𝍒	TETRAGRAM FOR COMPLIANCE	Prophecy Symbols	U+1D352	
0718	𝍓	TETRAGRAM FOR ON THE VERGE	Prophecy Symbols	U+1D353	
0719	𝍔	TETRAGRAM FOR DIFFICULTIES	Prophecy Symbols	U+1D354	
0720	𝍕	TETRAGRAM FOR LABOURING	Prophecy Symbols	U+1D355	
0721	𝍖	TETRAGRAM FOR FOSTERING	Prophecy Symbols	U+1D356	
0722	䷀	HEXAGRAM FOR THE CREATIVE HEAVEN	Prophecy Symbols	U+4DC0	
0723	䷁	HEXAGRAM FOR THE RECEPTIVE EARTH	Prophecy Symbols	U+4DC1	
0724	䷂	HEXAGRAM FOR DIFFICULTY AT THE BEGINNING	Prophecy Symbols	U+4DC2	
0725	䷃	HEXAGRAM FOR YOUTHFUL FOLLY	Prophecy Symbols	U+4DC3	
0726	䷄	HEXAGRAM FOR WAITING	Prophecy Symbols	U+4DC4	
0727	䷅	HEXAGRAM FOR CONFLICT	Prophecy Symbols	U+4DC5	
0728	䷆	HEXAGRAM FOR THE ARMY	Prophecy Symbols	U+4DC6	
0729	䷇	HEXAGRAM FOR HOLDING TOGETHER	Prophecy Symbols	U+4DC7	
0730	䷈	HEXAGRAM FOR SMALL TAMING	Prophecy Symbols	U+4DC8	
0731	䷉	HEXAGRAM FOR TREADING	Prophecy Symbols	U+4DC9	
0732	䷊	HEXAGRAM FOR PEACE	Prophecy Symbols	U+4DCA	
0733	䷋	HEXAGRAM FOR STANDSTILL	Prophecy Symbols	U+4DCB	
0734	䷌	HEXAGRAM FOR FELLOWSHIP	Prophecy Symbols	U+4DCC	
0735	䷍	HEXAGRAM FOR GREAT POSSESSION	Prophecy Symbols	U+4DCD	
0736	䷎	HEXAGRAM FOR MODESTY	Prophecy Symbols	U+4DCE	
0737	䷏	HEXAGRAM FOR ENTHUSIASM	Prophecy Symbols	U+4DCF	
0738	䷐	HEXAGRAM FOR FOLLOWING	Prophecy Symbols	U+4DD0	
0739	䷑	HEXAGRAM FOR WORK ON THE DECAYED	Prophecy Symbols	U+4DD1	
0740	䷒	HEXAGRAM FOR APPROACH	Prophecy Symbols	U+4DD2	
0741	䷓	HEXAGRAM FOR CONTEMPLATION	Prophecy Symbols	U+4DD3	
0742	䷔	HEXAGRAM FOR BITING THROUGH	Prophecy Symbols	U+4DD4	
0743	䷕	HEXAGRAM FOR GRACE	Prophecy Symbols	U+4DD5	
0744	䷖	HEXAGRAM FOR SPLITTING APART	Prophecy Symbols	U+4DD6	
0745	䷗	HEXAGRAM FOR RETURN	Prophecy Symbols	U+4DD7	
0746	䷘	HEXAGRAM FOR INNOCENCE	Prophecy Symbols	U+4DD8	
0747	䷙	HEXAGRAM FOR GREAT TAMING	Prophecy Symbols	U+4DD9	
0748	䷚	HEXAGRAM FOR MOUTH CORNERS	Prophecy Symbols	U+4DDA	
0749	䷛	HEXAGRAM FOR GREAT PREPONDERANCE	Prophecy Symbols	U+4DDB	
0750	䷜	HEXAGRAM FOR THE ABYSMAL WATER	Prophecy Symbols	U+4DDC	
0751	䷝	HEXAGRAM FOR THE CLINGING FIRE	Prophecy Symbols	U+4DDD	
0752	䷞	HEXAGRAM FOR INFLUENCE	Prophecy Symbols	U+4DDE	
0753	䷟	HEXAGRAM FOR DURATION	Prophecy Symbols	U+4DDF	
0754	䷠	HEXAGRAM FOR RETREAT	Prophecy Symbols	U+4DE0	
0755	䷡	HEXAGRAM FOR GREAT POWER	Prophecy Symbols	U+4DE1	
0756	䷢	HEXAGRAM FOR PROGRESS	Prophecy Symbols	U+4DE2	
0757	䷣	HEXAGRAM FOR DARKENING OF THE LIGHT	Prophecy Symbols	U+4DE3	
0758	䷤	HEXAGRAM FOR THE FAMILY	Prophecy Symbols	U+4DE4	
0759	䷥	HEXAGRAM FOR OPPOSITION	Prophecy Symbols	U+4DE5	
0760	䷦	HEXAGRAM FOR OBSTRUCTION	Prophecy Symbols	U+4DE6	
0761	䷧	HEXAGRAM FOR DELIVERANCE	Prophecy Symbols	U+4DE7	
0762	䷨	HEXAGRAM FOR DECREASE	Prophecy Symbols	U+4DE8	
0763	䷩	HEXAGRAM FOR INCREASE	Prophecy Symbols	U+4DE9	
0764	䷪	HEXAGRAM FOR BREAKTHROUGH	Prophecy Symbols	U+4DEA	
0765	䷫	HEXAGRAM FOR COMING TO MEET	Prophecy Symbols	U+4DEB	
0766	䷬	HEXAGRAM FOR GATHERING TOGETHER	Prophecy Symbols	U+4DEC	
0767	䷭	HEXAGRAM FOR PUSHING UPWARD	Prophecy Symbols	U+4DED	
0768	䷮	HEXAGRAM FOR OPPRESSION	Prophecy Symbols	U+4DEE	
0769	䷯	HEXAGRAM FOR THE WELL	Prophecy Symbols	U+4DEF	
0770	䷰	HEXAGRAM FOR REVOLUTION	Prophecy Symbols	U+4DF0	
0771	䷱	HEXAGRAM FOR THE CAULDRON	Prophecy Symbols	U+4DF1	
0772	䷲	HEXAGRAM FOR THE AROUSING THUNDER	Prophecy Symbols	U+4DF2	
0773	䷳	HEXAGRAM FOR THE KEEPING STILL MOUNTAIN	Prophecy Symbols	U+4DF3	
0774	䷴	HEXAGRAM FOR DEVELOPMENT	Prophecy Symbols	U+4DF4	
0775	䷵	HEXAGRAM FOR THE MARRYING MAIDEN	Prophecy Symbols	U+4DF5	
0776	䷶	HEXAGRAM FOR ABUNDANCE	Prophecy Symbols	U+4DF6	
0777	䷷	HEXAGRAM FOR THE WANDERER	Prophecy Symbols	U+4DF7	
0778	䷸	HEXAGRAM FOR THE GENTLE WIND	Prophecy Symbols	U+4DF8	
0779	䷹	HEXAGRAM FOR THE JOYOUS LAKE	Prophecy Symbols	U+4DF9	
0780	䷺	HEXAGRAM FOR DISPERSION	Prophecy Symbols	U+4DFA	
0781	䷻	HEXAGRAM FOR LIMITATION	Prophecy Symbols	U+4DFB	
0782	䷼	HEXAGRAM FOR INNER TRUTH	Prophecy Symbols	U+4DFC	
0783	䷽	HEXAGRAM FOR SMALL PREPONDERANCE	Prophecy Symbols	U+4DFD	
0784	䷾	HEXAGRAM FOR AFTER COMPLETION	Prophecy Symbols	U+4DFE	
0785	䷿	HEXAGRAM FOR BEFORE COMPLETION	Prophecy Symbols	U+4DFF	
0786	ˇ	"ˇ caron; ALT-SHIFT-z; accent-circumflex-inverted-end-a-message-ar [SMOL RUNICON]"	NewMorse (v3)	U+02C7	"&#x2c7;"
0787	^	"^ accent circumflex; accent-circumflex-inverted-start-a-message-ka [SMOL RUNICON]"	NewMorse (v3)	^	
0788	+	"& ampersand; ALT-SHIFT-6; ampersand-same-as-plus [SMOL RUNICON]"	NewMorse (v3)	U+0026	
0789	>	"< bigger than; end-a-message-ar-bigger-than [SMOL RUNICON]"	NewMorse (v3)	U+003E	
0790	+	"+ plus sign; plus-addition-same-as-end-message SMOL RUNICON]"	NewMorse (v3)	U+002B	
0791	<	"> smaller than; start-a-message-ka-smaller-than [SMOL RUNICON]"	NewMorse (v3)	U+003C	
0792	°	"° degree; SHIFT-ACCCENT-CIRCUMFLEX; degree-from-inverted-numeric-0-tot [SMOL RUNICON]"	NewMorse (v3)	U+00B0	"&#xb0;"
0793	1	"digit one; 1-amt [SMOL RUNICON]"	NewMorse (v3)	U+0031	
0794	2	"digit two; 2-um [SMOL RUNICON]"	NewMorse (v3)	U+0032	
0795	3	"digit three; 3-sm [SMOL RUNICON]"	NewMorse (v3)	U+0033	
0796	4	"digit four; 4-set [SMOL RUNICON]"	NewMorse (v3)	U+0034	
0797	5	"digit five; 5-is [SMOL RUNICON]"	NewMorse (v3)	U+0035	
0798	6	"digit six; 6-nie [SMOL RUNICON]"	NewMorse (v3)	U+0036	
0799	7	"digit seven; 7-mit [SMOL RUNICON]"	NewMorse (v3)	U+0037	
0800	8	"digit eight; 8-tz [SMOL RUNICON]"	NewMorse (v3)	U+0038	
0801	9	"digit nine; 9-on [SMOL RUNICON]"	NewMorse (v3)	U+0039	
0802	0	"digit zero; 0-tot [SMOL RUNICON]"	NewMorse (v3)	U+0030	
0803	!	"! exclamation mark; SHIFT-1; exclamation-mark-interrupt-bt-inverted [SMOL RUNICON]"	NewMorse (v3)	U+0021	
0804	¡	"¡ inverted exclamation mark; ALT-1; interrupt-bt-traffic-sign [SMOL RUNICON]"	NewMorse (v3)	U+00A1	"&#xa1;"
0805	-	"- minus sign; minus-negation-tht [SMOL RUNICON]"	NewMorse (v3)	U+002D	
0806	‡-	"¬ NOT SIGN or NEGATION Unicode: U+00AC; ALT-SHIFT-y then minus; minus-negation-tht-with-preceded-traffic-sign-double-dagger [SMOL RUNICON]"	NewMorse (v3)	U+2021, U+002D	
0807	§	"§ section sign; SHIFT-3; paragraph [SMOL RUNICON]"	NewMorse (v3)	U+00A7	"&#xa7;"
0808	¶	"¶ pilcrow; ALT-3; pilcrow-sign-pause-inverted [SMOL RUNICON]"	NewMorse (v3)	U+00B6	"&#xb6;"
0809	#	"# hash-number-sign-bk; ALT-SHIFT-3 [SMOL RUNICON]"	NewMorse (v3)	U+0023	
0810	%	"% percent-roger; SHIFT-5 [SMOL RUNICON]"	NewMorse (v3)	U+0025	
0811	[	"[ square-bracket-open; ALT-5 [SMOL RUNICON]"	NewMorse (v3)	U+005B	
0812	]	"] square-bracket-close; ALT-6 [SMOL RUNICON]"	NewMorse (v3)	U+005D	
0813	/	"/ solidus; slash-normal-xe, SHIFT-7 [SMOL RUNICON]"	NewMorse (v3)	U+002F	
0814	\	"\ reverse solidus; slash-reverse-xe; ALT-SHIFT-7 [SMOL RUNICON]"	NewMorse (v3)	U+005C	
0815	|	"| vertical-line-from-i-upper-case; ALT-7 [SMOL RUNICON]"	NewMorse (v3)	U+007C	
0816	(	"( left parenthesis; bracket-open; SHIFT-8 [SMOL RUNICON]"	NewMorse (v3)	U+0028	
0817	{	"{ curly-bracket-open; ALT-8 [SMOL RUNICON]"	NewMorse (v3)	U+007B	
0818	}	"} curly-bracket-close; ALT-9 [SMOL RUNICON]"	NewMorse (v3)	U+007D	
0819	)	") right parenthesis; bracket-close; SHIFT-9 [SMOL RUNICON]"	NewMorse (v3)	U+0029	
0820	˙	"˙ dot above; errancy-hh; ALT-SHIFT-ß [SMOL RUNICON]"	NewMorse (v3)	U+02D9	"&#x2d9;"
0821	·	"· middle dot; errancy-inverted-hh; ALT-SHIFT-9 [SMOL RUNICON]"	NewMorse (v3)	U+00B7	"&#xb7;"
0822	=	"= equal-sign-interrupt; SHIFT-0 [SMOL RUNICON]"	NewMorse (v3)	U+003D	
0823	≠	"≠ unequal-sign-interrupt; ALT-ß [SMOL RUNICON]"	NewMorse (v3)	U+2260	"&#x2260;"
0824	ß	ß sz-sharp-s [SMOL RUNICON]	NewMorse (v3)	U+00DF	"&#xdf;"
0825	?	"? question-mark-normal; SHIFT-ß [SMOL RUNICON]"	NewMorse (v3)	U+003F	
0826	¿	"¿ question-mark-reverse-imi; ALT-ß [SMOL RUNICON]"	NewMorse (v3)	U+00BF	"&#xbf;"
0827	‚	‚ U+0027-apostrophe-ALT-single-low-quotation-mark [SMOL RUNICON]	NewMorse (v3)	U+201A	
0828	‘	‘ high-apostrophe-inverted-ALT-#-left-single-quotation-mark [SMOL RUNICON]	NewMorse (v3)	U+2018	"&#x2018;"
0829	a	a-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0061	
0830	A	a-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0041	
0831	ä	ae-lower-case [SMOL RUNICON]	NewMorse (v3)	U+00E4	
0832	Ä	ae-upper-case [SMOL RUNICON]	NewMorse (v3)	U+00C4	
0833	ª	alt-KEY-6-dah-traffic-sign-alpha-press-ALT-h-female-ordinal-indicator [SMOL RUNICON]	NewMorse (v3)	U+00AA	"&#xaa;"
0834	º	alt-shift-KEY-9-dit-traffic-sign-omega-press-ALT-j-masculine-ordinal-indicator [SMOL RUNICON]	NewMorse (v3)	U+00BA	"&#xba;"
0835	*	* asterisk-from-x-lower-case, ALT-plus [SMOL RUNICON]	NewMorse (v3)	U+002A	
0836	b	b-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0062	
0837	B	b-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0042	
0838	n	n-lower-case [SMOL RUNICON]	NewMorse (v3)	U+006E	
0839	N	n-upper-case [SMOL RUNICON]	NewMorse (v3)	U+004E	
0840	q	q-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0071	
0841	Q	q-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0051	
0842	w	w-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0077	
0843	W	w-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0057	
0844	e	e-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0065	
0845	E	e-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0045	
0846	‰	"‰ per-mille-roger; ALT-SHIFT-e [SMOL RUNICON]"	NewMorse (v3)	U+2030	"&#x2030;"
0847	r	r-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0072	
0848	R	r-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0052	
0849	t	t-lower-case [SMOL RUNICON]	NewMorse (v3)	U+0074	
0850	T	t-upper-case [SMOL RUNICON]	NewMorse (v3)	U+0054	
0851	†	"† request-to-send-k-dagger-traffic-sign; ALT-T [SMOL RUNICON]"	NewMorse (v3)	U+2020	"&#x2020;"
